Job,Year,Amount,Major
"Arts, Entertainment & Recreation and Accommodation & Food Services",,371130,History
"Other Services, Except Public Administration",,312090,History
Public Administration,,587155,History
Active Duty Military,,90983,History
"Agriculture, Forestry, Fishing and Hunting, and Mining",,23407,Math & Statistics
Construction,,63096,Math & Statistics
Manufacturing,,358382,Math & Statistics
Wholesale Trade,,80032,Math & Statistics
Retail Trade,,227410,Math & Statistics
"Transportation & Warehousing, and Utilities",,124371,Math & Statistics
Information,,148741,Math & Statistics
"Finance & Insurance, and Real Estate, Rental & Leasing",,640105,Math & Statistics
"Professional, Scientific & Management, and Administrative & Waste Management Services",,914139,Math & Statistics
"Educational Services, Health Care & Social Assistance",,1601978,Math & Statistics
"Arts, Entertainment & Recreation and Accommodation & Food Services",,124124,Math & Statistics
"Other Services, Except Public Administration",,106622,Math & Statistics
Public Administration,,235683,Math & Statistics
Active Duty Military,,25007,Math & Statistics
"Agriculture, Forestry, Fishing and Hunting, and Mining",,457970,Engineering
Construction,,1534257,Engineering
Manufacturing,,7631594,Engineering
Wholesale Trade,,685188,Engineering
Retail Trade,,1070616,Engineering
"Transportation & Warehousing, and Utilities",,1406279,Engineering
Information,,858678,Engineering
"Finance & Insurance, and Real Estate, Rental & Leasing",,1509346,Engineering
"Professional, Scientific & Management, and Administrative & Waste Management Services",,7264855,Engineering
"Educational Services, Health Care & Social Assistance",,2900492,Engineering
"Arts, Entertainment & Recreation and Accommodation & Food Services",,552961,Engineering
"Other Services, Except Public Administration",,411687,Engineering
Public Administration,,1426074,Engineering
Active Duty Military,,250312,Engineering
"Agriculture, Forestry, Fishing and Hunting, and Mining",,40786,Health
Construction,,107810,Health
Manufacturing,,542878,Health
Wholesale Trade,,188768,Health
Retail Trade,,1450092,Health
"Transportation & Warehousing, and Utilities",,169113,Health
Information,,119199,Health
"Finance & Insurance, and Real Estate, Rental & Leasing",,753962,Health
"Professional, Scientific & Management, and Administrative & Waste Management Services",,1165188,Health
"Educational Services, Health Care & Social Assistance",,20244723,Health
"Arts, Entertainment & Recreation and Accommodation & Food Services",,521695,Health
"Other Services, Except Public Administration",,353039,Health
Public Administration,,830636,Health
Active Duty Military,,80311,Health
"Agriculture, Forestry, Fishing and Hunting, and Mining",,50419,Psychology
Construction,,188984,Psychology
Manufacturing,,584554,Psychology
Wholesale Trade,,256910,Psychology
Retail Trade,,913703,Psychology
"Transportation & Warehousing, and Utilities",,311916,Psychology
Information,,317530,Psychology
"Finance & Insurance, and Real Estate, Rental & Leasing",,1187452,Psychology
"Professional, Scientific & Management, and Administrative & Waste Management Services",,1753577,Psychology
"Educational Services, Health Care & Social Assistance",,8240193,Psychology
"Arts, Entertainment & Recreation and Accommodation & Food Services",,743350,Psychology
"Other Services, Except Public Administration",,616727,Psychology
Public Administration,,1194480,Psychology
Active Duty Military,,73877,Psychology
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,8685,Communications
Construction,2020,39305,Communications
Manufacturing,2020,129369,Communications
Wholesale Trade,2020,65906,Communications
Retail Trade,2020,172350,Communications
"Transportation & Warehousing, and Utilities",2020,63638,Communications
Information,2020,234538,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,228884,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,427146,Communications
"Educational Services, Health Care & Social Assistance",2020,509377,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,157519,Communications
"Other Services, Except Public Administration",2020,106937,Communications
Public Administration,2020,104897,Communications
Active Duty Military,2020,6802,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,8710,Communications
Construction,2019,35913,Communications
Manufacturing,2019,125054,Communications
Wholesale Trade,2019,64400,Communications
Retail Trade,2019,165667,Communications
"Transportation & Warehousing, and Utilities",2019,60064,Communications
Information,2019,235146,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,218690,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,404271,Communications
"Educational Services, Health Care & Social Assistance",2019,490314,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,156387,Communications
"Other Services, Except Public Administration",2019,103827,Communications
Public Administration,2019,99608,Communications
Active Duty Military,2019,6608,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,8524,Communications
Construction,2018,32220,Communications
Manufacturing,2018,119761,Communications
Wholesale Trade,2018,61548,Communications
Retail Trade,2018,162432,Communications
"Transportation & Warehousing, and Utilities",2018,56420,Communications
Information,2018,236192,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2018,208686,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2018,384108,Communications
"Educational Services, Health Care & Social Assistance",2018,473296,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2018,151401,Communications
"Other Services, Except Public Administration",2018,97576,Communications
Public Administration,2018,96368,Communications
Active Duty Military,2018,6284,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2017,8240,Communications
Construction,2017,29416,Communications
Manufacturing,2017,116738,Communications
Wholesale Trade,2017,58764,Communications
Retail Trade,2017,159026,Communications
"Transportation & Warehousing, and Utilities",2017,52946,Communications
Information,2017,232702,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2017,201547,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2017,362574,Communications
"Educational Services, Health Care & Social Assistance",2017,457361,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2017,143649,Communications
"Other Services, Except Public Administration",2017,91982,Communications
Public Administration,2017,92658,Communications
Active Duty Military,2017,6654,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2016,7892,Communications
Construction,2016,27220,Communications
Manufacturing,2016,112141,Communications
Wholesale Trade,2016,56619,Communications
Retail Trade,2016,158468,Communications
"Transportation & Warehousing, and Utilities",2016,49971,Communications
Information,2016,227917,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2016,193395,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2016,347111,Communications
"Educational Services, Health Care & Social Assistance",2016,440037,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2016,136623,Communications
"Other Services, Except Public Administration",2016,87484,Communications
Public Administration,2016,90815,Communications
Active Duty Military,2016,6033,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2015,7195,Communications
Construction,2015,25990,Communications
Manufacturing,2015,106616,Communications
Wholesale Trade,2015,54515,Communications
Retail Trade,2015,154298,Communications
"Transportation & Warehousing, and Utilities",2015,46496,Communications
Information,2015,220429,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2015,187649,Communications
"Professional, Scientific & Management, and Administrative & Waste Management Services",2015,325570,Communications
"Educational Services, Health Care & Social Assistance",2015,421801,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2015,132608,Communications
"Other Services, Except Public Administration",2015,83701,Communications
Public Administration,2015,87715,Communications
Active Duty Military,2015,6017,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2014,6830,Communications
Construction,2014,24790,Communications
Manufacturing,2014,103511,Communications
Wholesale Trade,2014,52438,Communications
Retail Trade,2014,150565,Communications
"Transportation & Warehousing, and Utilities",2014,43704,Communications
Information,2014,215207,Communications
"Finance & Insurance, and Real Estate, Rental & Leasing",2014,180539,Communications
